operationId,method,path,kind,detail,computable,abox_fact
createAgentInstance,POST,/agent-instances,happy-path,documented success response,yes,
createAgentInstance,POST,/agent-instances,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
createAgentInstance,POST,/agent-instances,bad-request:missing-required,field=elementInstanceKey,yes,
createAgentInstance,POST,/agent-instances,bad-request:missing-required,field=definition,yes,
createAgentInstance,POST,/agent-instances,409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
createAgentInstance,POST,/agent-instances,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
createAgentInstance,POST,/agent-instances,documented-500,response code 500 documented in spec,yes,
createAgentInstance,POST,/agent-instances,documented-503,response code 503 documented in spec,yes,
getAgentInstance,GET,/agent-instances/{agentInstanceKey},happy-path,documented success response,yes,
getAgentInstance,GET,/agent-instances/{agentInstanceKey},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
getAgentInstance,GET,/agent-instances/{agentInstanceKey},404-not-found,"path param=agentInstanceKey, type=string, format=AgentInstanceKey",yes,
getAgentInstance,GET,/agent-instances/{agentInstanceKey},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
getAgentInstance,GET,/agent-instances/{agentInstanceKey},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
getAgentInstance,GET,/agent-instances/{agentInstanceKey},documented-500,response code 500 documented in spec,yes,
getAgentInstance,GET,/agent-instances/{agentInstanceKey},documented-503,response code 503 documented in spec,yes,
updateAgentInstance,PATCH,/agent-instances/{agentInstanceKey},happy-path,documented success response,yes,
updateAgentInstance,PATCH,/agent-instances/{agentInstanceKey},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
updateAgentInstance,PATCH,/agent-instances/{agentInstanceKey},404-not-found,"path param=agentInstanceKey, type=string, format=AgentInstanceKey",yes,
updateAgentInstance,PATCH,/agent-instances/{agentInstanceKey},bad-request:type-mismatch,"field=tools, type=array",yes,
updateAgentInstance,PATCH,/agent-instances/{agentInstanceKey},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
updateAgentInstance,PATCH,/agent-instances/{agentInstanceKey},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
updateAgentInstance,PATCH,/agent-instances/{agentInstanceKey},documented-500,response code 500 documented in spec,yes,
searchAgentInstances,POST,/agent-instances/search,happy-path,documented success response,yes,
searchAgentInstances,POST,/agent-instances/search,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
searchAgentInstances,POST,/agent-instances/search,bad-request:additional-property,closed schema,yes,
searchAgentInstances,POST,/agent-instances/search,bad-request:type-mismatch,"field=sort, type=array",yes,
searchAgentInstances,POST,/agent-instances/search,pagination-sort:request-shape,sort array in body,yes,
searchAgentInstances,POST,/agent-instances/search,pagination-sort:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchAgentInstances,POST,/agent-instances/search,filter:request-shape,filter object in body,yes,
searchAgentInstances,POST,/agent-instances/search,filter:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchAgentInstances,POST,/agent-instances/search,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
searchAgentInstances,POST,/agent-instances/search,eventual-consistency,search may lag behind writes,no,consistency window per entity (or eventually-consistent flag)
searchAgentInstances,POST,/agent-instances/search,scale-large-n,"behaviour at 10K+ entities; pagination limits, timeout, ordering stability",no,scale thresholds + expected response time per entity
searchAgentInstances,POST,/agent-instances/search,documented-500,response code 500 documented in spec,yes,
searchAuditLogs,POST,/audit-logs/search,happy-path,documented success response,yes,
searchAuditLogs,POST,/audit-logs/search,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
searchAuditLogs,POST,/audit-logs/search,bad-request:additional-property,closed schema,yes,
searchAuditLogs,POST,/audit-logs/search,bad-request:type-mismatch,"field=sort, type=array",yes,
searchAuditLogs,POST,/audit-logs/search,pagination-sort:request-shape,sort array in body,yes,
searchAuditLogs,POST,/audit-logs/search,pagination-sort:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchAuditLogs,POST,/audit-logs/search,filter:request-shape,filter object in body,yes,
searchAuditLogs,POST,/audit-logs/search,filter:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchAuditLogs,POST,/audit-logs/search,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
searchAuditLogs,POST,/audit-logs/search,eventual-consistency,search may lag behind writes,no,consistency window per entity (or eventually-consistent flag)
searchAuditLogs,POST,/audit-logs/search,scale-large-n,"behaviour at 10K+ entities; pagination limits, timeout, ordering stability",no,scale thresholds + expected response time per entity
searchAuditLogs,POST,/audit-logs/search,documented-500,response code 500 documented in spec,yes,
getAuditLog,GET,/audit-logs/{auditLogKey},happy-path,documented success response,yes,
getAuditLog,GET,/audit-logs/{auditLogKey},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
getAuditLog,GET,/audit-logs/{auditLogKey},404-not-found,"path param=auditLogKey, type=string, format=AuditLogKey",yes,
getAuditLog,GET,/audit-logs/{auditLogKey},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
getAuditLog,GET,/audit-logs/{auditLogKey},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
getAuditLog,GET,/audit-logs/{auditLogKey},documented-500,response code 500 documented in spec,yes,
getAuthentication,GET,/authentication/me,happy-path,documented success response,yes,
getAuthentication,GET,/authentication/me,401-unauthorized,per-op security; strip auth header,yes,
getAuthentication,GET,/authentication/me,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
getAuthentication,GET,/authentication/me,documented-500,response code 500 documented in spec,yes,
createAuthorization,POST,/authorizations,happy-path,documented success response,yes,
createAuthorization,POST,/authorizations,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
createAuthorization,POST,/authorizations,bad-request:oneof-violation,oneOf branches=2,yes,
createAuthorization,POST,/authorizations,409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
createAuthorization,POST,/authorizations,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
createAuthorization,POST,/authorizations,documented-500,response code 500 documented in spec,yes,
createAuthorization,POST,/authorizations,documented-503,response code 503 documented in spec,yes,
searchAuthorizations,POST,/authorizations/search,happy-path,documented success response,yes,
searchAuthorizations,POST,/authorizations/search,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
searchAuthorizations,POST,/authorizations/search,bad-request:additional-property,closed schema,yes,
searchAuthorizations,POST,/authorizations/search,bad-request:type-mismatch,"field=sort, type=array",yes,
searchAuthorizations,POST,/authorizations/search,pagination-sort:request-shape,sort array in body,yes,
searchAuthorizations,POST,/authorizations/search,pagination-sort:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchAuthorizations,POST,/authorizations/search,filter:request-shape,filter object in body,yes,
searchAuthorizations,POST,/authorizations/search,filter:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchAuthorizations,POST,/authorizations/search,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
searchAuthorizations,POST,/authorizations/search,eventual-consistency,search may lag behind writes,no,consistency window per entity (or eventually-consistent flag)
searchAuthorizations,POST,/authorizations/search,scale-large-n,"behaviour at 10K+ entities; pagination limits, timeout, ordering stability",no,scale thresholds + expected response time per entity
searchAuthorizations,POST,/authorizations/search,documented-500,response code 500 documented in spec,yes,
updateAuthorization,PUT,/authorizations/{authorizationKey},happy-path,documented success response,yes,
updateAuthorization,PUT,/authorizations/{authorizationKey},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
updateAuthorization,PUT,/authorizations/{authorizationKey},404-not-found,"path param=authorizationKey, type=string, format=AuthorizationKey",yes,
updateAuthorization,PUT,/authorizations/{authorizationKey},bad-request:oneof-violation,oneOf branches=2,yes,
updateAuthorization,PUT,/authorizations/{authorizationKey},409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
updateAuthorization,PUT,/authorizations/{authorizationKey},403-forbidden,403 not documented; emitter needs to know if RBAC applies,no,RBAC: permissions required per endpoint
updateAuthorization,PUT,/authorizations/{authorizationKey},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
updateAuthorization,PUT,/authorizations/{authorizationKey},documented-500,response code 500 documented in spec,yes,
updateAuthorization,PUT,/authorizations/{authorizationKey},documented-503,response code 503 documented in spec,yes,
getAuthorization,GET,/authorizations/{authorizationKey},happy-path,documented success response,yes,
getAuthorization,GET,/authorizations/{authorizationKey},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
getAuthorization,GET,/authorizations/{authorizationKey},404-not-found,"path param=authorizationKey, type=string, format=AuthorizationKey",yes,
getAuthorization,GET,/authorizations/{authorizationKey},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
getAuthorization,GET,/authorizations/{authorizationKey},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
getAuthorization,GET,/authorizations/{authorizationKey},documented-500,response code 500 documented in spec,yes,
deleteAuthorization,DELETE,/authorizations/{authorizationKey},happy-path,documented success response,yes,
deleteAuthorization,DELETE,/authorizations/{authorizationKey},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
deleteAuthorization,DELETE,/authorizations/{authorizationKey},404-not-found,"path param=authorizationKey, type=string, format=AuthorizationKey",yes,
deleteAuthorization,DELETE,/authorizations/{authorizationKey},403-forbidden,403 not documented; emitter needs to know if RBAC applies,no,RBAC: permissions required per endpoint
deleteAuthorization,DELETE,/authorizations/{authorizationKey},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
deleteAuthorization,DELETE,/authorizations/{authorizationKey},documented-500,response code 500 documented in spec,yes,
deleteAuthorization,DELETE,/authorizations/{authorizationKey},documented-503,response code 503 documented in spec,yes,
searchBatchOperationItems,POST,/batch-operation-items/search,happy-path,documented success response,yes,
searchBatchOperationItems,POST,/batch-operation-items/search,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
searchBatchOperationItems,POST,/batch-operation-items/search,bad-request:additional-property,closed schema,yes,
searchBatchOperationItems,POST,/batch-operation-items/search,bad-request:type-mismatch,"field=sort, type=array",yes,
searchBatchOperationItems,POST,/batch-operation-items/search,pagination-sort:request-shape,sort array in body,yes,
searchBatchOperationItems,POST,/batch-operation-items/search,pagination-sort:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchBatchOperationItems,POST,/batch-operation-items/search,filter:request-shape,filter object in body,yes,
searchBatchOperationItems,POST,/batch-operation-items/search,filter:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchBatchOperationItems,POST,/batch-operation-items/search,403-forbidden,403 not documented; emitter needs to know if RBAC applies,no,RBAC: permissions required per endpoint
searchBatchOperationItems,POST,/batch-operation-items/search,eventual-consistency,search may lag behind writes,no,consistency window per entity (or eventually-consistent flag)
searchBatchOperationItems,POST,/batch-operation-items/search,scale-large-n,"behaviour at 10K+ entities; pagination limits, timeout, ordering stability",no,scale thresholds + expected response time per entity
searchBatchOperationItems,POST,/batch-operation-items/search,documented-500,response code 500 documented in spec,yes,
searchBatchOperations,POST,/batch-operations/search,happy-path,documented success response,yes,
searchBatchOperations,POST,/batch-operations/search,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
searchBatchOperations,POST,/batch-operations/search,bad-request:additional-property,closed schema,yes,
searchBatchOperations,POST,/batch-operations/search,bad-request:type-mismatch,"field=sort, type=array",yes,
searchBatchOperations,POST,/batch-operations/search,pagination-sort:request-shape,sort array in body,yes,
searchBatchOperations,POST,/batch-operations/search,pagination-sort:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchBatchOperations,POST,/batch-operations/search,filter:request-shape,filter object in body,yes,
searchBatchOperations,POST,/batch-operations/search,filter:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchBatchOperations,POST,/batch-operations/search,403-forbidden,403 not documented; emitter needs to know if RBAC applies,no,RBAC: permissions required per endpoint
searchBatchOperations,POST,/batch-operations/search,eventual-consistency,search may lag behind writes,no,consistency window per entity (or eventually-consistent flag)
searchBatchOperations,POST,/batch-operations/search,scale-large-n,"behaviour at 10K+ entities; pagination limits, timeout, ordering stability",no,scale thresholds + expected response time per entity
searchBatchOperations,POST,/batch-operations/search,documented-500,response code 500 documented in spec,yes,
getBatchOperation,GET,/batch-operations/{batchOperationKey},happy-path,documented success response,yes,
getBatchOperation,GET,/batch-operations/{batchOperationKey},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
getBatchOperation,GET,/batch-operations/{batchOperationKey},404-not-found,"path param=batchOperationKey, type=string, format=BatchOperationKey | uuid",yes,
getBatchOperation,GET,/batch-operations/{batchOperationKey},403-forbidden,403 not documented; emitter needs to know if RBAC applies,no,RBAC: permissions required per endpoint
getBatchOperation,GET,/batch-operations/{batchOperationKey},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
getBatchOperation,GET,/batch-operations/{batchOperationKey},documented-500,response code 500 documented in spec,yes,
cancelBatchOperation,POST,/batch-operations/{batchOperationKey}/cancellation,happy-path,documented success response,yes,
cancelBatchOperation,POST,/batch-operations/{batchOperationKey}/cancellation,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
cancelBatchOperation,POST,/batch-operations/{batchOperationKey}/cancellation,404-not-found,"path param=batchOperationKey, type=string, format=BatchOperationKey | uuid",yes,
